"Date","Time","AqsID","Site Name","Parameter","Units","Concentration","Agency","AQI_Value","2021-12-21 08:38:11","rank"
"12/21/2021","7:00","840560230004","Kemmerer Mobile","OZONE","PPB",44,"Wyoming Department of Environmental Quality",41,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840240396431","Princess Anne","PM25","UG/M3",9.7,"Maryland Department of the Environment",40,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840060731026","San Diego - Sherman ","PM25","UG/M3",9,"San Diego APCD",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270031002","Blaine","PM25","UG/M3",9,"Minnesota Pollution Control Agency",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270370470","Apple Valley","PM25","UG/M3",9,"Minnesota Pollution Control Agency",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550870009","APPLETON AAL","PM25","UG/M3",9.1,"Wisconsin DNR",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840250170010","ChelmsfordNR","PM25","UG/M3",9,"Massachusetts Dept. of Environmental Protection",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410190004","Roseburg Fire Dept","PM25","UG/M3",9,"Oregon Dept. of Environmental Quality",38,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840420510524","Uniontown","PM25","UG/M3",9.1,"Pennsylvania Dept. of Environmental Protection",38,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380150003","Bismarck Residential","PM25","UG/M3",8.6,"North Dakota Health",36,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460710001","Badlands","OZONE","PPB",39,"South Dakota",36,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840080590014","Evergreen","OZONE","PPB",39,"Colorado Department of Public Health and Environment",36,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840120115005","Coconut Creek","PM25","UG/M3",8.4,"Broward County Natural Resources Division",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550350014","Eau Claire","PM25","UG/M3",8.3,"Wisconsin DNR",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550430009","Potosi","PM25","UG/M3",8.5,"Wisconsin DNR",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840080010010","Adams-Birch","PM10","UG/M3",38,"Colorado Department of Public Health and Environment",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410670006","Forest Grove Pacific","PM25","UG/M3",8.3,"Oregon Dept. of Environmental Quality",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530510008","Newport-Calispel","PM25","UG/M3",8.4,"Washington Department of Ecology",35,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530470016","Twisp-Ewell St","PM25","UG/M3",8.1,"Washington Department of Ecology",34,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380570004","Beulah North","PM25","UG/M3",8,"North Dakota Health",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","190130009","Waterloo, Water Towe","PM25","UG/M3",8,"Iowa DNR",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191390019","Muscatine, High Scho","PM25","UG/M3",8,"Iowa DNR",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191770006","Lake Sugema","PM25","UG/M3",8,"Iowa DNR",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460330132","WIND CAVE","OZONE","PPB",36,"South Dakota",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550250041","MADISON EAST","PM25","UG/M3",7.9,"Wisconsin DNR",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840250212005","WeymouthFR","PM25","UG/M3",8,"Massachusetts Dept. of Environmental Protection",33,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560010011","Laramie I-80 Mobile","OZONE","PPB",36,"Wyoming Department of Environmental Quality",33,"2021-12-21 08:38:10",1
"12/21/2021","6:00","550790056","MILWAUKEE COLLEGE AV","NO2","PPB",34,"Wisconsin DNR",32,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550090005","GREEN BAY E HIGH","PM25","UG/M3",7.8,"Wisconsin DNR",32,"2021-12-21 08:38:10",1
"12/21/2021","7:00","551198001","PERKINSTOWN","PM25","UG/M3",7.6,"Wisconsin DNR",32,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840172010118","Rockford","PM25","UG/M3",7.7,"Illinois EPA",32,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840490037001","Portage","OZONE","PPB",35,"Utah Department of Environmental Quality",32,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530330047","Auburn 29th St","PM25","UG/M3",7.6,"Washington Department of Ecology",32,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840CK2010001","Eastern Band of Cher","PM25","UG/M3",7.5,"Eastern Band of Cherokee Indians",31,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460930001","Black Hawk","OZONE","PPB",34,"South Dakota",31,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550410007","POTAWATOMI","OZONE","PPB",33,"Wisconsin DNR",31,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840080290007","Paonia","OZONE","PPB",34,"Bureau of Land Management - Colorado",31,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380530002","TRNP-NU","OZONE","PPB",32,"North Dakota Health",30,"2021-12-21 08:38:10",1
"12/21/2021","6:00","381010003","RYDER","OZONE","PPB",32,"North Dakota Health",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","380070002","Theodore Roosevelt N","OZONE","PPB",32,"North Dakota Health",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550590019","CHIWAUKEE","PM25","UG/M3",7.1,"Wisconsin DNR",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060374009","Long Beach Signal Hi","NO2","PPB",32,"South Coast AQMD",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410352040","Chiloquin","PM25","UG/M3",7.1,"Oregon Dept. of Environmental Quality",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840450190021","SPA-Irving St.","PM25","UG/M3",7.1,"South Carolina DHEC",30,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270370480","Lakeville - Near Roa","PM25","UG/M3",7,"Minnesota Pollution Control Agency",29,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840340292002","Toms River","PM25","UG/M3",7,"New Jersey Dept. of Environmental Protection",29,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840380250004","Lake Ilo","OZONE","PPB",31,"North Dakota Health",29,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380130004","Lostwood NWR","OZONE","PPB",30,"North Dakota Health",28,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840120992005","Delray Beach","PM25","UG/M3",6.7,"Florida Dept. of Environmental Protection",28,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840550250047","Madison University A","PM25","UG/M3",6.6,"Wisconsin DNR",28,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410530004","Dallas LaCreole Midd","PM25","UG/M3",6.5,"Oregon Dept. of Environmental Quality",27,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271377550","Duluth-WDSE","OZONE","PPB",28,"Minnesota Pollution Control Agency",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550030010","Bad River Tribal Sch","PM25","UG/M3",6.2,"Wisconsin DNR",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550890009","HARRINGTON BCH","PM25","UG/M3",6.3,"Wisconsin DNR",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","551110007","Devils Lake","PM25","UG/M3",6.3,"Wisconsin DNR",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060199999","Pinehurst","OZONE","PPB",28,"Forest Service",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840240476432","Pocomoke City","PM25","UG/M3",6.3,"Maryland Department of the Environment",26,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840550790068","Milwaukee-UWM UPark","NO2","PPB",28,"Wisconsin DNR",26,"2021-12-21 08:38:10",1
"12/21/2021","6:00","380171004","Fargo NW","OZONE","PPB",27,"North Dakota Health",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270072304","Red Lake Nation","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270213410","Leech Lake Nation: C","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271453052","St. Cloud","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271713201","St. Michael","PM25","UG/M3",6,"Minnesota Pollution Control Agency",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","551199991","Perkinstown","OZONE","PPB",27,"EPA Office of Atmospheric Programs",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840460130004","Aberdeen","PM25","UG/M3",5.9,"South Dakota",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","thunder-bay","THUNDER-BAY","PM25","UG/M3",6,"ONTARIO Department of Health",25,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271370034","Voyageurs NP","OZONE","PPB",26,"National Park Service",24,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460290002","Watertown","PM25","UG/M3",5.8,"South Dakota",24,"2021-12-21 08:38:10",1
"12/21/2021","7:00","550270001","Horicon Wildlife Are","PM25","UG/M3",5.8,"Wisconsin DNR",24,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840133030001","Sandersville","PM25","UG/M3",5.7,"Georgia Department of Natural Resources",24,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270530910","Minneapolis-Pacific ","PM10","UG/M3",25,"Minnesota Pollution Control Agency",23,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840080970007","Aspen Pumphouse","OZONE","PPB",25,"Colorado Department of Public Health and Environment",23,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410050011","Estacada Clackamas R","PM25","UG/M3",5.5,"Oregon Dept. of Environmental Quality",23,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410170116","Bend Pine Ridge Elem","PM25","UG/M3",5.6,"Oregon Dept. of Environmental Quality",23,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410170123","Bend NE 8th & Emerso","PM25","UG/M3",5.5,"Oregon Dept. of Environmental Quality",23,"2021-12-21 08:38:10",1
"12/21/2021","7:00","000064001","Experimental Lakes","OZONE","PPB",24,"Canadian Air and Precipitation Monitoring Network",22,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270530909","Minneapolis-Lowry Av","PM10","UG/M3",24,"Minnesota Pollution Control Agency",22,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840310670005","Homestead NHP","PM25","UG/M3",5.3,"Nebraska Department of Environment and Energy",22,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840MM0079990","Cashmere Mobile","PM25","UG/M3",5.2,"Washington Department of Ecology",22,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270052013","Detroit Lakes","PM25","UG/M3",5,"Minnesota Pollution Control Agency",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271390505","Shakopee","OZONE","PPB",23,"Minnesota Pollution Control Agency",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060792020","SLO Roberto","PM25","UG/M3",5,"San Luis Obispo County APCD",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840150012027","KS Hawaii","PM25","UG/M3",5,"Hawaii State Dept. of Health",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840230290033","Sipayik","OZONE","PPB",23,"Maine Dept. of Environmental Protection",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410170115","Bend Ponderosa Eleme","PM25","UG/M3",5.1,"Oregon Dept. of Environmental Quality",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410390101","Eugene - Wilkes Dr.","PM25","UG/M3",5,"Lane Regional Air Protection Agency",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410512011","Portland Cully Helen","PM25","UG/M3",5,"Oregon Dept. of Environmental Quality",21,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840471130010","Jackson","PM25","UG/M3",5,"Tennessee Air Pollution Control Div.",21,"2021-12-21 08:38:10",1
"12/21/2021","6:00","000070119","Winnipeg_Ellens","PM25","UG/M3",4.8,"Manitoba Conservation Air Quality Section",20,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060292019","Bakersfield-Westwind","NO2","PPB",21,"San Joaquin Valley Unified APCD",20,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840081230013","Platteville Atmosphe","NO2","PPB",21,"Colorado Department of Public Health and Environment",20,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840460990009","SF-USD","OZONE","PPB",22,"South Dakota",20,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530139991","Umatilla","OZONE","PPB",22,"EPA Office of Atmospheric Programs",20,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840TT5980500","Indio-29 Palms","PM25","UG/M3",4.9,"Twenty-Nine Palms Band of Mission Indians",20,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840120950010","Skyview","OZONE","PPB",21,"Florida Dept. of Environmental Protection",19,"2021-12-21 08:38:10",1
"12/21/2021","7:00","461030020","Credit Union","PM10","UG/M3",21,"South Dakota",19,"2021-12-21 08:38:10",1
"12/21/2021","7:00","551250001","TROUT LAKE","PM25","UG/M3",4.6,"Wisconsin DNR",19,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060290019","Mojave - CA 58 Busin","OZONE","PPB",20,"California Air Resources Board",19,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510003","Roosevelt High Schoo","PM25","UG/M3",4.6,"Oregon Dept. of Environmental Quality",19,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271230868","St. Paul - Downtown","PM10","UG/M3",19,"Minnesota Pollution Control Agency",18,"2021-12-21 08:38:10",1
"12/21/2021","6:00","191471002","Emmetsburg, ILCC","PM25","UG/M3",4,"Iowa DNR",17,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840120013012","Paynes Prairie Farm","OZONE","PPB",18,"Florida Dept. of Environmental Protection",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270531909","Minneapolis - Bottin","PM10","UG/M3",18,"Minnesota Pollution Control Agency",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","270750005","Ely","PM25","UG/M3",4,"Minnesota Pollution Control Agency",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460110003","Research Farm","PM25","UG/M3",4,"South Dakota",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410171001","Redmond High School","PM25","UG/M3",4,"Oregon Dept. of Environmental Quality",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840471252001","Clarksville","PM25","UG/M3",4,"Tennessee Air Pollution Control Div.",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530330069","Tukwila_Allentown","PM25","UG/M3",4,"Washington Department of Ecology",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560130004","Riverton Mobile","NO2","PPB",18,"Wyoming Department of Environmental Quality",17,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510031","Gresham Centennial H","PM25","UG/M3",3.8,"Oregon Dept. of Environmental Quality",16,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510032","Portland Lane Middle","PM25","UG/M3",3.6,"Oregon Dept. of Environmental Quality",15,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510035","Portland SE 12th and","PM25","UG/M3",3.7,"Oregon Dept. of Environmental Quality",15,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840401439029","Muscogee (Creek) Nat","PM25","UG/M3",3.4,"Cherokee Nation",14,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410170117","Sunriver Three River","PM25","UG/M3",3.4,"Oregon Dept. of Environmental Quality",14,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410512010","Portland Humboldt Sc","PM25","UG/M3",3.2,"Oregon Dept. of Environmental Quality",13,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271377001","Virginia","PM25","UG/M3",3,"Minnesota Pollution Control Agency",12,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840020900040","A Street","PM25","UG/M3",3,"State of Alaska DEC",12,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840310790005","Grand Island DOT","PM25","UG/M3",3,"Nebraska Department of Environment and Energy",12,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510039","Portland McDaniel Hi","PM25","UG/M3",3,"Oregon Dept. of Environmental Quality",12,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840560010012","Laramie SLAMS","PM25","UG/M3",3,"Wyoming Department of Environmental Quality",12,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840040190008","Corona de Tucson","PM10","UG/M3",11,"Pima County Department of Environmental Quality",10,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840361030044","Flax Pond","OZONE","PPB",11,"New York Dept. of Environmental Conservation",10,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410510034","Portland Lincoln Hig","PM25","UG/M3",2.5,"Oregon Dept. of Environmental Quality",10,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060690004","San Juan Bautista AM","PM10","UG/M3",10,"Monterey Bay Unified APCD",9,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840371190047","Ramblewood Park","PM10","UG/M3",10,"Mecklenburg County Air Quality",9,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410110003","Coos Bay Marshfield ","PM25","UG/M3",2.1,"Oregon Dept. of Environmental Quality",9,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410150002","Brookings CPFA","PM25","UG/M3",2.2,"Oregon Dept. of Environmental Quality",9,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840510719992","Blue Grass Trail","OZONE","PPB",10,"EPA Office of Atmospheric Programs",9,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840120990022","Lamstein Lane","OZONE","PPB",9,"Florida Dept. of Environmental Protection",8,"2021-12-21 08:38:10",1
"12/21/2021","7:00","191530030","CARPENTER","PM25","UG/M3",2,"Polk Co. Air Quality Division",8,"2021-12-21 08:38:10",1
"12/21/2021","7:00","271377554","West Duluth","PM25","UG/M3",2,"Minnesota Pollution Control Agency",8,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530230001","Pomeroy-Pataha St","PM25","UG/M3",2,"Washington Department of Ecology",8,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840020200045","Laurel","PM10","UG/M3",8,"State of Alaska DEC",7,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410390100","Florence-Department ","PM25","UG/M3",1.7,"Lane Regional Air Protection Agency",7,"2021-12-21 08:38:10",1
"12/21/2021","6:00","840560290001","Cody SLAMS","PM25","UG/M3",1.5,"Wyoming Department of Environmental Quality",6,"2021-12-21 08:38:10",1
"12/21/2021","7:00","460650003","Pierre","PM25","UG/M3",1.5,"South Dakota",6,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060270023","Olancha","PM10","UG/M3",7,"Great Basin Unified Air Pollution Control District",6,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840410570001","Tillamook Forestry D","PM25","UG/M3",1.5,"Oregon Dept. of Environmental Quality",6,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840530499998","Raymond-4th St","PM25","UG/M3",1.5,"Washington Department of Ecology",6,"2021-12-21 08:38:10",1
"12/21/2021","7:00","840060270031","Lone Pine","PM10","UG/M3",5,"Great Basin Unified Air Pollution Control District",5,"2021-12-21 08:38:10",1
